image_name,image_width,image_height,label,xmin,ymin,xmax,ymax,box_width,box_height,box_area
img-1.jpg,720,720,medium_pothole,213,240,525,378,312,138,43056
img-10.jpg,720,720,medium_pothole,285,214,444,355,159,141,22419
img-100.jpg,720,720,minor_pothole,235,272,434,388,199,116,23084
img-101.jpg,720,720,medium_pothole,228,303,394,432,166,129,21414
img-101.jpg,720,720,minor_pothole,397,317,554,411,157,94,14758
img-102.jpg,720,720,minor_pothole,230,246,492,550,262,304,79648
img-103.jpg,720,720,medium_pothole,264,251,479,366,215,115,24725
img-104.jpg,720,720,major_pothole,235,164,480,335,245,171,41895
img-104.jpg,720,720,minor_pothole,441,433,506,492,65,59,3835
img-105.jpg,720,720,minor_pothole,293,296,444,409,151,113,17063
img-105.jpg,720,720,minor_pothole,297,453,340,490,43,37,1591
img-106.jpg,720,720,medium_pothole,144,168,511,475,367,307,112669
img-106.jpg,720,720,minor_pothole,492,141,605,305,113,164,18532
img-107.jpg,720,720,medium_pothole,230,286,456,459,226,173,39098
img-108.jpg,720,720,major_pothole,270,198,442,326,172,128,22016
img-108.jpg,720,720,minor_pothole,232,261,305,328,73,67,4891
img-108.jpg,720,720,minor_pothole,513,187,572,219,59,32,1888
img-108.jpg,720,720,minor_pothole,266,573,384,695,118,122,14396
img-108.jpg,720,720,minor_pothole,672,481,720,544,48,63,3024
img-109.jpg,720,720,medium_pothole,337,244,451,337,114,93,10602
img-109.jpg,720,720,medium_pothole,282,362,454,528,172,166,28552
img-109.jpg,720,720,minor_pothole,60,428,228,522,168,94,15792
img-11.jpg,720,720,medium_pothole,223,245,466,489,243,244,59292
img-110.jpg,720,720,medium_pothole,224,290,638,411,414,121,50094
img-110.jpg,720,720,minor_pothole,82,184,180,211,98,27,2646
img-111.jpg,720,720,minor_pothole,337,265,425,319,88,54,4752
img-111.jpg,720,720,minor_pothole,237,318,402,470,165,152,25080
img-111.jpg,720,720,minor_pothole,11,489,92,596,81,107,8667
img-112.jpg,720,720,medium_pothole,176,171,513,301,337,130,43810
img-113.jpg,720,720,major_pothole,90,142,595,459,505,317,160085
img-114.jpg,720,720,minor_pothole,271,260,403,373,132,113,14916
img-115.jpg,720,720,medium_pothole,230,275,454,394,224,119,26656
img-116.jpg,720,720,medium_pothole,295,265,530,411,235,146,34310
img-116.jpg,720,720,minor_pothole,90,478,181,573,91,95,8645
img-117.jpg,720,720,minor_pothole,280,270,404,517,124,247,30628
img-117.jpg,720,720,minor_pothole,271,49,379,87,108,38,4104
img-118.jpg,720,720,major_pothole,155,151,504,595,349,444,154956
img-119.jpg,720,720,medium_pothole,188,212,395,389,207,177,36639
img-119.jpg,720,720,minor_pothole,144,597,302,720,158,123,19434
img-12.jpg,720,720,medium_pothole,278,373,535,639,257,266,68362
img-120.jpg,720,720,medium_pothole,242,346,492,440,250,94,23500
img-121.jpg,720,720,medium_pothole,159,230,331,352,172,122,20984
img-121.jpg,720,720,medium_pothole,270,368,498,547,228,179,40812
img-121.jpg,720,720,minor_pothole,523,498,580,558,57,60,3420
img-122.jpg,720,720,medium_pothole,260,288,476,430,216,142,30672
img-123.jpg,720,720,medium_pothole,459,267,641,436,182,169,30758
img-124.jpg,720,720,minor_pothole,169,32,269,80,100,48,4800
img-124.jpg,720,720,major_pothole,213,236,504,492,291,256,74496
img-124.jpg,720,720,minor_pothole,456,329,575,450,119,121,14399
img-124.jpg,720,720,minor_pothole,513,218,554,247,41,29,1189
img-124.jpg,720,720,minor_pothole,519,33,607,146,88,113,9944
img-124.jpg,720,720,minor_pothole,60,184,150,243,90,59,5310
img-124.jpg,720,720,minor_pothole,237,0,273,25,36,25,900
img-125.jpg,720,720,minor_pothole,293,302,461,410,168,108,18144
img-125.jpg,720,720,minor_pothole,180,73,272,107,92,34,3128
img-125.jpg,720,720,minor_pothole,184,111,279,150,95,39,3705
img-126.jpg,720,720,medium_pothole,226,284,461,416,235,132,31020
img-126.jpg,720,720,minor_pothole,479,147,560,211,81,64,5184
img-126.jpg,720,720,minor_pothole,0,209,48,235,48,26,1248
img-127.jpg,720,720,medium_pothole,357,306,537,398,180,92,16560
img-127.jpg,720,720,medium_pothole,221,329,326,411,105,82,8610
img-127.jpg,720,720,minor_pothole,321,417,504,552,183,135,24705
img-128.jpg,720,720,medium_pothole,269,203,437,399,168,196,32928
img-129.jpg,720,720,minor_pothole,248,285,351,374,103,89,9167
img-129.jpg,720,720,minor_pothole,329,378,427,431,98,53,5194
img-13.jpg,720,720,medium_pothole,160,288,396,433,236,145,34220
img-13.jpg,720,720,medium_pothole,269,150,499,219,230,69,15870
img-13.jpg,720,720,minor_pothole,490,27,594,65,104,38,3952
img-13.jpg,720,720,medium_pothole,619,11,693,39,74,28,2072
img-130.jpg,720,720,medium_pothole,295,270,426,340,131,70,9170
img-130.jpg,720,720,minor_pothole,401,236,449,271,48,35,1680
img-131.jpg,720,720,medium_pothole,271,383,374,471,103,88,9064
img-132.jpg,720,720,medium_pothole,97,222,584,434,487,212,103244
img-132.jpg,720,720,minor_pothole,0,195,45,236,45,41,1845
img-133.jpg,720,720,medium_pothole,305,287,436,348,131,61,7991
img-134.jpg,720,720,medium_pothole,290,274,422,399,132,125,16500
img-134.jpg,720,720,minor_pothole,125,41,215,121,90,80,7200
img-135.jpg,720,720,medium_pothole,149,293,520,489,371,196,72716
img-135.jpg,720,720,minor_pothole,514,431,619,509,105,78,8190
img-135.jpg,720,720,medium_pothole,513,53,720,142,207,89,18423
img-135.jpg,720,720,minor_pothole,270,200,354,249,84,49,4116
img-136.jpg,720,720,medium_pothole,290,261,400,390,110,129,14190
img-137.jpg,720,720,medium_pothole,299,279,461,421,162,142,23004
img-138.jpg,720,720,medium_pothole,324,312,438,368,114,56,6384
img-139.jpg,720,720,medium_pothole,278,260,429,397,151,137,20687
img-14.jpg,720,720,medium_pothole,144,246,636,524,492,278,136776
img-14.jpg,720,720,minor_pothole,35,196,142,258,107,62,6634
img-140.jpg,720,720,minor_pothole,304,342,505,489,201,147,29547
img-140.jpg,720,720,medium_pothole,165,74,420,188,255,114,29070
img-141.jpg,720,720,minor_pothole,400,444,504,523,104,79,8216
img-141.jpg,720,720,minor_pothole,283,359,427,464,144,105,15120
img-141.jpg,720,720,minor_pothole,207,293,325,380,118,87,10266
img-141.jpg,720,720,minor_pothole,0,168,141,279,141,111,15651
img-142.jpg,720,720,medium_pothole,181,299,538,397,357,98,34986
img-143.jpg,720,720,minor_pothole,275,318,441,426,166,108,17928
img-144.jpg,720,720,medium_pothole,259,354,429,464,170,110,18700
img-144.jpg,720,720,minor_pothole,31,201,103,246,72,45,3240
img-145.jpg,720,720,minor_pothole,288,320,435,411,147,91,13377
img-146.jpg,720,720,medium_pothole,153,253,439,421,286,168,48048
img-147.jpg,720,720,medium_pothole,312,299,410,418,98,119,11662
img-147.jpg,720,720,minor_pothole,413,220,479,278,66,58,3828
img-148.jpg,720,720,medium_pothole,254,246,385,383,131,137,17947
img-148.jpg,720,720,minor_pothole,663,121,720,161,57,40,2280
img-149.jpg,720,720,medium_pothole,195,233,506,351,311,118,36698
img-15.jpg,720,720,medium_pothole,249,322,462,433,213,111,23643
img-150.jpg,720,720,medium_pothole,216,279,559,400,343,121,41503
img-151.jpg,720,720,minor_pothole,269,269,483,409,214,140,29960
img-152.jpg,720,720,minor_pothole,261,262,343,306,82,44,3608
img-152.jpg,720,720,minor_pothole,309,313,496,369,187,56,10472
img-152.jpg,720,720,minor_pothole,385,496,508,555,123,59,7257
img-152.jpg,720,720,minor_pothole,470,607,584,692,114,85,9690
img-152.jpg,720,720,minor_pothole,201,629,290,683,89,54,4806
img-153.jpg,720,720,minor_pothole,297,297,425,387,128,90,11520
img-154.jpg,720,720,medium_pothole,94,242,539,642,445,400,178000
img-155.jpg,720,720,medium_pothole,420,248,583,378,163,130,21190
img-155.jpg,720,720,minor_pothole,407,474,533,608,126,134,16884
img-155.jpg,720,720,minor_pothole,247,330,309,393,62,63,3906
img-156.jpg,720,720,medium_pothole,204,255,452,425,248,170,42160
img-156.jpg,720,720,minor_pothole,448,145,573,193,125,48,6000
img-157.jpg,720,720,medium_pothole,243,260,437,379,194,119,23086
img-157.jpg,720,720,minor_pothole,202,207,266,241,64,34,2176
img-158.jpg,720,720,medium_pothole,297,292,462,409,165,117,19305
img-158.jpg,720,720,minor_pothole,158,337,293,422,135,85,11475
img-159.jpg,720,720,medium_pothole,304,304,437,407,133,103,13699
img-159.jpg,720,720,minor_pothole,423,577,481,620,58,43,2494
img-159.jpg,720,720,minor_pothole,225,202,346,288,121,86,10406
img-16.jpg,720,720,medium_pothole,258,279,452,460,194,181,35114
img-160.jpg,720,720,minor_pothole,491,1,683,165,192,164,31488
img-160.jpg,720,720,minor_pothole,371,289,523,428,152,139,21128
img-160.jpg,720,720,minor_pothole,233,395,443,541,210,146,30660
img-160.jpg,720,720,minor_pothole,581,131,693,232,112,101,11312
img-161.jpg,720,720,medium_pothole,281,289,420,383,139,94,13066
img-162.jpg,720,720,medium_pothole,221,246,480,386,259,140,36260
img-163.jpg,720,720,medium_pothole,257,282,517,487,260,205,53300
img-163.jpg,720,720,minor_pothole,662,216,720,267,58,51,2958
img-164.jpg,720,720,major_pothole,220,286,489,424,269,138,37122
img-165.jpg,720,720,medium_pothole,225,311,486,446,261,135,35235
img-166.jpg,720,720,medium_pothole,250,274,468,426,218,152,33136
img-166.jpg,720,720,minor_pothole,64,305,119,358,55,53,2915
img-167.jpg,720,720,medium_pothole,279,263,470,407,191,144,27504
img-167.jpg,720,720,minor_pothole,166,403,321,500,155,97,15035
img-167.jpg,720,720,minor_pothole,202,56,276,84,74,28,2072
img-168.jpg,720,720,medium_pothole,242,262,475,358,233,96,22368
img-168.jpg,720,720,minor_pothole,79,95,146,139,67,44,2948
img-169.jpg,720,720,medium_pothole,154,259,465,418,311,159,49449
img-17.jpg,720,720,medium_pothole,124,313,416,507,292,194,56648
img-17.jpg,720,720,minor_pothole,522,239,675,358,153,119,18207
img-170.jpg,720,720,minor_pothole,330,243,429,291,99,48,4752
img-170.jpg,720,720,minor_pothole,230,495,377,589,147,94,13818
img-171.jpg,720,720,medium_pothole,244,191,485,347,241,156,37596
img-172.jpg,720,720,minor_pothole,208,69,384,143,176,74,13024
img-172.jpg,720,720,minor_pothole,13,184,105,273,92,89,8188
img-172.jpg,720,720,minor_pothole,0,1,77,61,77,60,4620
img-172.jpg,720,720,minor_pothole,38,1,171,39,133,38,5054
img-172.jpg,720,720,medium_pothole,223,342,576,558,353,216,76248
img-173.jpg,720,720,medium_pothole,226,251,488,359,262,108,28296
img-173.jpg,720,720,medium_pothole,211,363,509,456,298,93,27714
img-174.jpg,720,720,medium_pothole,259,371,533,504,274,133,36442
img-175.jpg,720,720,medium_pothole,178,230,405,438,227,208,47216
img-175.jpg,720,720,medium_pothole,392,277,535,469,143,192,27456
img-175.jpg,720,720,minor_pothole,416,18,498,95,82,77,6314
img-176.jpg,720,720,medium_pothole,257,283,454,401,197,118,23246
img-176.jpg,720,720,minor_pothole,63,267,173,337,110,70,7700
img-177.jpg,720,720,medium_pothole,255,248,444,366,189,118,22302
img-178.jpg,720,720,medium_pothole,261,315,453,417,192,102,19584
img-178.jpg,720,720,minor_pothole,12,412,163,491,151,79,11929
img-178.jpg,720,720,minor_pothole,0,343,77,408,77,65,5005
img-179.jpg,720,720,medium_pothole,295,249,457,468,162,219,35478
img-179.jpg,720,720,minor_pothole,205,221,300,383,95,162,15390
img-179.jpg,720,720,minor_pothole,94,239,215,375,121,136,16456
img-179.jpg,720,720,minor_pothole,274,27,381,140,107,113,12091
img-179.jpg,720,720,minor_pothole,573,59,673,126,100,67,6700
img-18.jpg,720,720,medium_pothole,269,215,405,301,136,86,11696
img-18.jpg,720,720,medium_pothole,309,332,487,421,178,89,15842
img-18.jpg,720,720,minor_pothole,134,487,218,546,84,59,4956
img-18.jpg,720,720,minor_pothole,55,108,147,152,92,44,4048
img-18.jpg,720,720,minor_pothole,0,80,52,111,52,31,1612
img-180.jpg,720,720,medium_pothole,218,279,507,421,289,142,41038
img-181.jpg,720,720,medium_pothole,291,333,466,455,175,122,21350
img-182.jpg,720,720,medium_pothole,285,287,443,442,158,155,24490
img-182.jpg,720,720,minor_pothole,0,216,99,311,99,95,9405
img-182.jpg,720,720,minor_pothole,417,647,551,720,134,73,9782
img-183.jpg,720,720,medium_pothole,175,224,489,466,314,242,75988
img-184.jpg,720,720,minor_pothole,23,24,52,34,29,10,290
img-184.jpg,720,720,minor_pothole,0,46,36,68,36,22,792
img-184.jpg,720,720,minor_pothole,55,30,109,54,54,24,1296
img-184.jpg,720,720,minor_pothole,84,0,117,10,33,10,330
img-184.jpg,720,720,minor_pothole,58,13,85,24,27,11,297
img-184.jpg,720,720,minor_pothole,35,0,70,10,35,10,350
img-184.jpg,720,720,minor_pothole,11,0,34,4,23,4,92
img-184.jpg,720,720,minor_pothole,0,3,16,13,16,10,160
img-184.jpg,720,720,medium_pothole,300,255,394,322,94,67,6298
img-184.jpg,720,720,minor_pothole,530,145,558,164,28,19,532
img-184.jpg,720,720,minor_pothole,362,572,403,606,41,34,1394
img-185.jpg,720,720,major_pothole,261,269,483,476,222,207,45954
img-186.jpg,720,720,major_pothole,122,316,412,453,290,137,39730
img-186.jpg,720,720,medium_pothole,441,263,684,385,243,122,29646
img-187.jpg,720,720,medium_pothole,233,282,472,420,239,138,32982
img-188.jpg,720,720,medium_pothole,266,227,410,329,144,102,14688
img-188.jpg,720,720,medium_pothole,299,349,430,438,131,89,11659
img-188.jpg,720,720,minor_pothole,432,258,588,350,156,92,14352
img-189.jpg,720,720,medium_pothole,261,278,468,412,207,134,27738
img-19.jpg,720,720,medium_pothole,270,227,417,339,147,112,16464
img-19.jpg,720,720,medium_pothole,162,395,297,486,135,91,12285
img-190.jpg,720,720,medium_pothole,161,253,472,443,311,190,59090
img-190.jpg,720,720,medium_pothole,472,419,630,506,158,87,13746
img-191.jpg,720,720,medium_pothole,271,335,467,494,196,159,31164
img-191.jpg,720,720,medium_pothole,272,237,393,297,121,60,7260
img-191.jpg,720,720,minor_pothole,163,402,235,446,72,44,3168
img-192.jpg,720,720,medium_pothole,276,294,415,397,139,103,14317
img-193.jpg,720,720,medium_pothole,272,347,361,400,89,53,4717
img-193.jpg,720,720,minor_pothole,566,380,638,418,72,38,2736
img-194.jpg,720,720,medium_pothole,261,290,469,419,208,129,26832
img-195.jpg,720,720,medium_pothole,117,147,276,219,159,72,11448
