image_name,image_width,image_height,label,xmin,ymin,xmax,ymax,box_width,box_height,box_area,aspect_ratio,area_percentage,center_x,center_y,relative_center_x,relative_center_y,width_percentage,height_percentage
img-1.jpg,720,720,medium_pothole,213,240,525,378,312,138,43056,2.260869565217391,0.08305555555555555,369.0,309.0,0.5125,0.42916666666666664,0.43333333333333335,0.19166666666666668
img-10.jpg,720,720,medium_pothole,285,214,444,355,159,141,22419,1.127659574468085,0.04324652777777778,364.5,284.5,0.50625,0.3951388888888889,0.22083333333333333,0.19583333333333333
img-100.jpg,720,720,minor_pothole,235,272,434,388,199,116,23084,1.7155172413793103,0.044529320987654324,334.5,330.0,0.46458333333333335,0.4583333333333333,0.2763888888888889,0.16111111111111112
img-101.jpg,720,720,medium_pothole,228,303,394,432,166,129,21414,1.2868217054263567,0.04130787037037037,311.0,367.5,0.43194444444444446,0.5104166666666666,0.23055555555555557,0.17916666666666667
img-101.jpg,720,720,minor_pothole,397,317,554,411,157,94,14758,1.6702127659574468,0.028468364197530863,475.5,364.0,0.6604166666666667,0.5055555555555555,0.21805555555555556,0.13055555555555556
img-102.jpg,720,720,minor_pothole,230,246,492,550,262,304,79648,0.8618421052631579,0.153641975308642,361.0,398.0,0.5013888888888889,0.5527777777777778,0.3638888888888889,0.4222222222222222
img-103.jpg,720,720,medium_pothole,264,251,479,366,215,115,24725,1.8695652173913044,0.04769483024691358,371.5,308.5,0.5159722222222223,0.4284722222222222,0.2986111111111111,0.1597222222222222
img-104.jpg,720,720,major_pothole,235,164,480,335,245,171,41895,1.432748538011696,0.08081597222222223,357.5,249.5,0.4965277777777778,0.34652777777777777,0.3402777777777778,0.2375
img-104.jpg,720,720,minor_pothole,441,433,506,492,65,59,3835,1.1016949152542372,0.007397762345679013,473.5,462.5,0.6576388888888889,0.6423611111111112,0.09027777777777778,0.08194444444444444
img-105.jpg,720,720,minor_pothole,293,296,444,409,151,113,17063,1.336283185840708,0.032914737654320986,368.5,352.5,0.5118055555555555,0.4895833333333333,0.20972222222222223,0.15694444444444444
img-105.jpg,720,720,minor_pothole,297,453,340,490,43,37,1591,1.162162162162162,0.003069058641975309,318.5,471.5,0.4423611111111111,0.6548611111111111,0.059722222222222225,0.05138888888888889
img-106.jpg,720,720,medium_pothole,144,168,511,475,367,307,112669,1.1954397394136809,0.21733989197530865,327.5,321.5,0.4548611111111111,0.4465277777777778,0.5097222222222222,0.4263888888888889
img-106.jpg,720,720,minor_pothole,492,141,605,305,113,164,18532,0.6890243902439024,0.03574845679012346,548.5,223.0,0.7618055555555555,0.30972222222222223,0.15694444444444444,0.22777777777777777
img-107.jpg,720,720,medium_pothole,230,286,456,459,226,173,39098,1.30635838150289,0.07542052469135803,343.0,372.5,0.47638888888888886,0.5173611111111112,0.3138888888888889,0.24027777777777778
img-108.jpg,720,720,major_pothole,270,198,442,326,172,128,22016,1.34375,0.04246913580246914,356.0,262.0,0.49444444444444446,0.3638888888888889,0.2388888888888889,0.17777777777777778
img-108.jpg,720,720,minor_pothole,232,261,305,328,73,67,4891,1.0895522388059702,0.009434799382716049,268.5,294.5,0.3729166666666667,0.40902777777777777,0.10138888888888889,0.09305555555555556
img-108.jpg,720,720,minor_pothole,513,187,572,219,59,32,1888,1.84375,0.0036419753086419752,542.5,203.0,0.7534722222222222,0.28194444444444444,0.08194444444444444,0.044444444444444446
img-108.jpg,720,720,minor_pothole,266,573,384,695,118,122,14396,0.9672131147540983,0.02777006172839506,325.0,634.0,0.4513888888888889,0.8805555555555555,0.1638888888888889,0.16944444444444445
img-108.jpg,720,720,minor_pothole,672,481,720,544,48,63,3024,0.7619047619047619,0.005833333333333334,696.0,512.5,0.9666666666666667,0.7118055555555556,0.06666666666666667,0.0875
img-109.jpg,720,720,medium_pothole,337,244,451,337,114,93,10602,1.2258064516129032,0.02045138888888889,394.0,290.5,0.5472222222222223,0.40347222222222223,0.15833333333333333,0.12916666666666668
img-109.jpg,720,720,medium_pothole,282,362,454,528,172,166,28552,1.036144578313253,0.05507716049382716,368.0,445.0,0.5111111111111111,0.6180555555555556,0.2388888888888889,0.23055555555555557
img-109.jpg,720,720,minor_pothole,60,428,228,522,168,94,15792,1.7872340425531914,0.030462962962962963,144.0,475.0,0.2,0.6597222222222222,0.23333333333333334,0.13055555555555556
img-11.jpg,720,720,medium_pothole,223,245,466,489,243,244,59292,0.9959016393442623,0.114375,344.5,367.0,0.47847222222222224,0.5097222222222222,0.3375,0.3388888888888889
